692,FABI0692 N. Fabius (124) C. f. M. n. Pictor
698,CORN0698 Cn. Cornelius (73) P. f. Cn. n. Blasio
699,FULV0699 M. Fulvius (55) Q. f. M. n. Flaccus
701,SEMP0701 P. Sempronius (86) P. f. P. n. Sophus
702,CLAU0702 Ap. Claudius (317) Ap. f. C. n. Russus
703,ATIL0703 M. Atilius (51) M. f. L. n. Pup. Regulus
704,IULI0704 L. Iulius (318) L. f. L. n. Libo
707,IUNI0707 D. Iunius (124) D. f. D. n. Pera
707,IUNI0707 D. Iunius (124) D. f. D. n. Pera
712,FABI0712 Q. Fabius (116) Q. f. Q. n. Fal. Pup. Maximus Ovicula Verrucosus Cunctator
712,FABI0712 Q. Fabius (116) Q. f. Q. n. Fal. Pup. Maximus Ovicula Verrucosus Cunctator
713,CLAU0713 Ap. Claudius (102) C. f. Ap. n. Caudex
713,CLAU0713 Ap. Claudius (102) C. f. Ap. n. Caudex
716,VALE0716 M'. Valerius (247) M. f. M. n. Maximus Messalla
722,CORN0722 L. Cornelius (323) L. f. Cn. n. Scipio
723,CORN0723 Cn. Cornelius (341) L. f. Cn. n. Scipio Asina
724,DUIL0724 C. Duillius (3) M. f. M. n.
726,AQUI0726 C. Aquillius (20) M. f. C. n. Florus
727,ATIL0727 A. Atilius (36) A. f. C. n. Caiatinus
728,SULP0728 C. Sulpicius (81) Q. f. Q. n. Paterculus
732,ATIL0732 C. Atilius (47) M. f. M. n. Regulus
734,MANL0734 L. Manlius (101) A. f. P. n. Vulso Longus
738,FULV0738 Ser. Fulvius (97) M. f. M. n. Paetinus Nobilior
739,AEMI0739 M. Aemilius (117) M. f. L. n. Paullus
743,SEMP0743 C. Sempronius (28) Ti. f. Ti. n. Blaesus
746,AURE0746 C. Aurelius (94) L. f. C. n. Cotta
751,CAEC0751 L. Caecilius (72) L. f. C. n. Metellus
758,MANL0758 A. Manlius (87) T. f. T. n. Torquatus Atticus
765,LUTA0765 C. Lutatius (4) C. f. C. n. Catulus
767,VALE0767 Q. Valerius (157) Q. f. P. n. Falto
768,LUTA0768 Q. Lutatius (13) C. f. C. n. Cerco
782,CORN0782 P. Cornelius (213) L. f. Ti. n. Lentulus Caudinus
787,MANL0787 T. Manlius (82) T. f. T. n. Torquatus
789,CARV0789 Sp. Carvilius (10) Sp. f. C. n. Maximus (Ruga)
791,POMP0791 M'. Pomponius (17) M'. f. M'. n. Matho
793,FLAM0793 C. Flaminius (2) C. f. L. n.
803,FULV0803 Cn. Fulvius (42) Cn. f. Cn. n. Centumalus
810,CLAU0810 M. Claudius (220) M. f. M. n. Marcellus
810,CLAU0810 M. Claudius (220) M. f. M. n. Marcellus
810,CLAU0810 M. Claudius (220) M. f. M. n. Marcellus
812,AEMI0812 L. Aemilius (108) Q. f. Cn. n. Papus
814,FURI0814 P. Furius (80) Sp. f. M. n. Philus
817,CORN0817 Cn. Cornelius (345) L. f. L. n. Scipio Calvus
826,AEMI0826 L. Aemilius (118) M. f. M. n. Paullus
827,LIVI0827 M. Livius (33) M. f. M. n. Pol. Salinator
827,LIVI0827 M. Livius (33) M. f. M. n. Pol. Salinator
878,CORN0878 P. Cornelius (336) P. f. L. n. Scipio Africanus Maior
878,CORN0878 P. Cornelius (336) P. f. L. n. Scipio Africanus Maior
907,PORC0907 M. Porcius (9) M. f. Pap. Cato 'Censorius'
908,CLAU0908 C. Claudius (246) Ti. f. Ti. n. Arn. Nero
967,FURI0967 L. Furius (86) Sp. f. Sp. n. Purpurio
997,CLAU0997 M. Claudius (222) M. f. M. n. Marcellus
999,QUIN0999 T. Quinctius (45) T. f. L. n. Flamininus
1016,CORN1016 L. Cornelius (337) P. f. L. n. Scipio Asiaticus
1023,CORN1023 L. Cornelius (188) L. f. L. n. Lentulus
1062,MINU1062 Q. Minucius (22 55) C. f. C. n. Rufus
1063,ACIL1063 M'. Acilius (35) C. f. L. n. Glabrio
1064,MINU1064 Q. Minucius (65) Q. f. L. n. Thermus
1065,CORN1065 C. Cornelius (88) L. f. M. n. Cethegus
1067,AEMI1067 M. Aemilius (68) M. f. M. n. Lepidus
1077,CORN1077 P. Cornelius (350) Cn. f. L. n. Scipio Nasica
1085,CORN1085 Cn. Cornelius (74) Blasio
1093,HELV1093 M. Helvius (4)
1103,MANL1103 Cn. Manlius (91) Cn. f. L. n. Vulso
1109,FULV1109 M. Fulvius (91) M. f. Ser. n. Nobilior
1109,FULV1109 M. Fulvius (91) M. f. Ser. n. Nobilior
1117,FABI1117 Q. Fabius (91) Q. f. Q. n. Labeo
1125,CLAU1125 C. Claudius (300) Ap. f. P. n. Pulcher
1134,AEMI1134 L. Aemilius (114) L. f. M. n. Paullus Macedonicus
1134,AEMI1134 L. Aemilius (114) L. f. M. n. Paullus Macedonicus
1134,AEMI1134 L. Aemilius (114) L. f. M. n. Paullus Macedonicus
1163,BAEB1163 M. Baebius (44 cf. 1 16) Q. f. Cn. n. Tamphilus
1168,TITI1168 M. Titinius (20 cf. 12 13) Curvus
1173,SULP1173 C. Sulpicius (66) C. f. C. n. Galus
1175,AEMI1175 L. Aemilius (127) Regillus
1182,SEMP1182 Ti. Sempronius (53) P. f. Ti. n. Gracchus
1182,SEMP1182 Ti. Sempronius (53) P. f. Ti. n. Gracchus
1183,TERE1183 A. Terentius (80) Varro
1204,MANL1204 L. Manlius (47) Acidinus Fulvianus
1212,CORN1212 P. Cornelius (95) L. f. P. n. Cethegus
1222,CALP1222 C. Calpurnius (62) C. f. C. n. Piso
1226,QUIN1226 L. Quinctius (37) Crispinus
1242,FULV1242 Q. Fulvius (61) Q. f. M. n. Flaccus
1242,FULV1242 Q. Fulvius (61) Q. f. M. n. Flaccus
1278,POST1278 L. Postumius (41) A. f. A. n. Albinus
1288,MUCI1288 P. Mucius (16) Q. f. P. n. Scaevola
1290,CLAU1290 Ap. Claudius (103) Centho
1318,CLAU1318 M. Claudius (225) M. f. M. n. Marcellus
1318,CLAU1318 M. Claudius (225) M. f. M. n. Marcellus
