295,PAPI0295 M. Papirius (68) L. f. - n. Mugillanus,Papirius,Mugillanus
296,RUTI0296 Sp. Rutilius (14) Crassus,Rutilius,Crassus
297,VETU0297 Sp. Veturius (14) Sp. f. Sp. n. Crassus Cicurinus,Veturius,Crassus
300,CORN0300 P. Cornelius (118) A. f. P. n. Cossus,Cornelius,Cossus
301,VALE0301 C. Valerius (309) L. f. Volus. n. Potitus Volusus,Valerius,Potitus
303,QUIN0303 Q. Quinctius (30) L. f. L. n. Cincinnatus,Quinctius,Cincinnatus
305,CORN0305 Cn. Cornelius (116) A. f. M. n. Cossus,Cornelius,Cossus
306,VALE0306 L. Valerius (307) L. f. P. n. Potitus,Valerius,Potitus
307,POST0307 P. Postumius (60 cf. 1 51) A. f. A. n. Albinus Regillensis,Postumius,Albinus
310,CORN0310 A. (or M.) Cornelius (113 cf. 112 114) Cossus,Cornelius,Cossus
311,FABI0311 Q. Fabius (166 cf. 46) Vibulanus,Fabius,Vibulanus
312,FURI0312 C. Furius (74) Pacilus,Furius,Pacilus
314,PAPI0314 M. Papirius (30 68) L. f.  Mugillanus (or Atratinus),Papirius,Mugillanus (or Atratinus)
316,AEMI0316 M'. Aemilius (98) Mam. f. M. n. Mamercinus,Aemilius,Mamercinus
322,FABI0322 K. Fabius (42 cf. 39 48) M. f. Q. n. Ambustus,Fabius,Ambustus
325,IULI0325 C. Iulius (295) Sp. f. Vopisci n. Iullus,Iulius,Iullus
326,CORN0326 P. Cornelius (119) A. f. M. n. Cossus,Cornelius,Cossus
327,SERV0327 C. Servilius (33) P. f. Q. n. Ahala,Servilius,Ahala
328,CORN0328 P. Cornelius (307) M. f. L. n. Rutilus Cossus,Cornelius,Rutilus
329,FABI0329 N. (or Cn.) Fabius (163) Q. f. M. n. Vibulanus,Fabius,Vibulanus
330,CORN0330 Cn. Cornelius (117) P. f. A. n. Cossus,Cornelius,Cossus
332,MANL0332 A. Manlius (100) A. f. Cn. n. Vulso Capitolinus,Manlius,Vulso
