138,SULP0138 Ser. (or P.) Sulpicius (36) - f. Ser. n. Camerinus Cornutus,cos. 461,-375
139,VERG0139 A. Verginius (3),tr. pl. 461,-400
140,VOLS0140 M. Volscius (2) Fictor,tr. pl. 461,-400
141,CLAU0141 C. Claudius (322) Ap. f. M. n. Crassus Inregillensis Sabinus,cos. 460,-460
142,QUIN0142 L. Quinctius (27) L. f. L. n. Cincinnatus,cos. suff. 460,-375
143,CORN0143 L. Cornelius (256) Ser. f. P. n. Maluginensis Uritinus,cos. 459,-400
144,CORN0144 A. Cornelius (12),q. 459,-400
145,SERV0145 Q. Servilius (28  cf. 77) (Structus) (Priscus),q. 459,-400
146,FURI0146 -. (Furius?) (3.1968) Carve(tus),cos. 458,-458
147,MINU0147 L. Minucius (40) P. f. M. n. Esquilinus Augurinus,cos. suff. 458,-375
148,TARQ0148 L. Tarquitius (6  cf. Tarquinius 10) L. f. Flaccus,mag. eq. 458,-400
149,VALE0149 M. Valerius (246) M'. f. Volus. n. Maximus (Lactuca),cos. 456,-400
151,MINU0151 Q. Minucius (41) P. f. M. n. Esquilinus,cos. 457,-400
152,FABI0152 M. Fabius (161) Vibulanus,cos. 457,-400
153,VERG0153 Sp. Verginius (20) A. f. A. n. Tricostus Caeliomontanus,cos. 456,-400
154,ICIL0154 L. Icilius (2),tr. pl. 456,-375
155,ALIE0155 L. Alienus (2),aed. pl. 454,-400
156,ROMI0156 T. Romilius (4) T. f. T. n. Rocus Vaticanus,cos. 455,-400
157,VETU0157 C. Veturius (10) P. f. - n. Cicurinus,cos. 455,-400
158,TARP0158 Sp. Tarpeius (4) M. f. M. n. Montanus Capitolinus,cos. 454,-375
159,ATER0159 A. Aternius (RE 2.1923) Varus Fontinalis,cos. 454,-400
160,CALV0160 C. Calvius (2) Cicero,tr. pl. 454,-400
161,SICC0161 L. Siccius (3) Dentatus 'Achilles Romanus',tr. pl. 454,-449
163,QUIN0163 Sex. Quinctilius (15) Sex. f. P. n.,cos. 453,-453
164,CURI0164 P. Curiatius (6) Fistus Trigeminus,cos. 453,-400
165,HORA0165 C. (or M.) Horatius (13) M. f. M. n. Pulvillus,cos.? 477,-453
166,MENE0166 T. Menenius (18) Agripp. f. Agripp. n. Lanatus,cos. 452,-375
168,GENU0168 T. Genucius (12) L. f. L. n. Augurinus,cos. 451,-400
169,VETU0169 Sp. Veturius (15) Crassus Cicurinus,Xvir cons. imp. leg. scrib. 451,-400
170,VETU0170 L. Veturius (cf. 15) Crassus Cicurinus,X vir consul. imp. leg. scrib.? 451,-400
172,SEST0172 P. Sestius (9) Q. f. V. n. Capito(linus) (Vaticanus),cos. 452,-400
173,CORN0173 M. Cornelius (246) - f. Ser. n. Maluginensis,X vir consul. imp. leg. scrib. 450,-375
174,SERG0174 M. Sergius (24) Esquilinus,X vir consul. imp. leg. scrib. 450,-375
175,POET0175 Q. Poetelius (4) Libo Visolus,X vir consul. imp. leg. scrib. 450,-375
176,ANTO0176 T. Antonius (78) Merenda,X vir consul. imp. leg. scrib. 449,-375
177,DUIL0177 K. Duillius (4) (Longus),X vir consul. imp. leg. scrib. 449,-375
178,OPPI0178 Sp. Oppius (27) Cornicen,X vir consul. imp. leg. scrib. 449,-449
179,RABU0179 M'. Rabuleius (2),X vir consul. imp. leg. scrib. 449,-375
180,VALE0180 L. Valerius (304) P. f. P. n. Potitus Potitus,cos. 449,-375
181,HORA0181 M. Horatius (8) M. f. L. (or P.) n. (Tu)rrinus Barbatus,cos. 449,-375
182,APRO0182 C. Apronius (1),tr. pl. 449,-375
183,NUMI0183 P. Numitorius (4),tr. pl. 449,-375
184,OPPI0184 C. Oppius (7),tr. pl. 449,-375
185,POMP0185 M. Pomponius (6),tr. pl. 449,-375
186,SICI0186 C. Sicinius (5),tr. pl. 449,-375
187,TITI0187 M. Titinius (10),tr. pl. 449,-375
188,VERG0188 L. Verginius (7),tr. pl. 449,-375
